,Player,Team,Position,FPts,GP,GS,Min,G,GOF,A,KP,ABS,AFKG,AHW,AOG,APL,APKG,AR,ASOP,S,SOT,SOP,SB,Tk,TkW,TLM,Tu,DIS,PLC,FC,FS,ErS,ErG,YC,RC,RCR,HB,Pen,DP,Off,PA,AP,SFTP,C,AC,ACNC,CF,CK,CIB,CF.1,CC,FKS,Int,IntB,CLRA,CLR,CoA,CoS,CSLM,BC,BS,DW,DL,AER,AERL,BCC,BCM,BCS,BR,FKG,FKM,PL,LB,LBA,SubOn,SubOff,PKG,PKA,PKM,PKD,OG,GAO,SAO,CS,CS.1,MCS,CSD,Date
55,Andros Townsend,CRY,"M,F",9.98,1,1,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,1,19,1,2,0,0,0,0,0,0,0,0,0,21,14,6,6,0,0,6,4,0,1,0,0,0,0,0,0,3,2,0,0,0,7,3,0,0,0,0,0,7,0,0,19,3,1,0,0,0,0,0,0,0,0,10,1,1,90,0,2019-08-10
56,Jordan Ayew,CRY,F,9.74,1,1,65,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,2,11,0,5,0,0,0,0,0,0,0,0,0,17,12,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,8,3,1,0,0,1,0,6,0,0,11,0,0,0,1,0,0,0,0,0,0,9,1,1,65,0,2019-08-10
57,Danny Rose,TOT,"D,M",9.52,1,1,90,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,16,3,2,0,1,0,0,0,0,0,0,0,46,41,22,6,2,2,4,0,0,0,0,0,0,0,0,0,6,2,0,0,0,7,11,1,2,1,0,0,6,0,0,16,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2019-08-10
58,Oliver Norwood,SHU,M,9.5,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,16,2,1,0,0,0,0,0,0,0,0,0,66,55,12,7,2,2,5,1,0,1,0,0,3,0,0,0,0,0,0,0,0,5,4,1,1,0,0,0,14,0,0,16,11,4,0,0,0,0,0,0,0,1,13,0,0,0,0,2019-08-10
59,Trezeguet,AVL,"M,F",9.46,1,1,59,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,3,1,0,1,0,7,1,2,0,0,0,0,0,0,0,0,0,9,8,1,4,1,1,3,0,0,0,1,0,0,0,2,2,3,1,0,1,0,8,6,2,1,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,2019-08-10
60,Diego Rico,BOU,"D,M",9.16,1,1,90,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,44,28,12,3,0,0,3,1,0,0,1,0,3,0,3,3,1,1,0,0,0,6,1,0,0,0,0,0,5,0,0,24,9,3,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-10
61,Oleksandr Zinchenko,MCI,"D,M",9.14,1,1,90,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,59,52,11,3,2,2,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,4,2,3,0,0,0,5,0,0,9,4,3,0,0,0,0,0,0,0,0,5,1,1,90,1,2019-08-10
62,James Ward-Prowse,SOU,"M,F",8.9,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1,0,1,0,19,0,1,0,0,0,0,0,0,0,0,0,47,30,6,4,3,0,1,5,3,1,0,0,1,1,0,0,0,0,0,0,0,5,3,2,1,0,0,0,7,0,0,19,4,2,0,0,0,0,0,0,0,3,10,0,0,0,0,2019-08-10
63,Nathan Ake,BOU,D,8.74,1,1,90,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,3,3,0,1,0,7,1,0,0,0,0,0,0,1,0,0,0,68,62,7,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,5,2,2,2,1,0,0,2,0,0,7,6,1,0,0,0,0,0,0,0,1,8,0,0,0,0,2019-08-10
64,Gylfi Sigurdsson,EVE,"M,F",8.52,1,1,79,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,2,1,12,1,1,0,0,0,0,0,0,0,0,0,24,16,7,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,5,0,1,0,1,0,3,0,0,12,1,1,0,1,0,0,0,0,0,0,6,1,1,79,0,2019-08-10
